game_date,player,player_id,team_id
2024-09-27,Garrett Crochet,4297835,1
2024-09-27,Ranger Suarez,39817,9
2024-09-27,Jared Jones,4918156,9
2024-09-27,Carlos Rodon,33696,1
2024-09-27,Jose Berrios,32811,7
2024-09-27,Ronel Blanco,41829,8
2024-09-27,Nick Pivetta,36071,8
2024-09-27,Brady Singer,41172,11
2024-09-27,Max Fried,32685,7
2024-09-27,Pablo Lopez,39671,14
2024-09-27,Jacob deGrom,32796,13
2024-09-27,Yu Darvish,32055,13
2024-09-27,Merrill Kelly,32968,11
2024-09-27,JP Sears,39818,1
2024-09-28,Paul Skenes,4719507,7
2024-09-28,Luis Gil,40626,5
2024-09-28,Zack Wheeler,31267,9
2024-09-28,Zebby Matthews,4791597,2
2024-09-28,Seth Lugo,34873,1
2024-09-28,Yoshinobu Yamamoto,4872587,8
2024-09-28,Andrew Heaney,32672,11
2024-09-28,Joey Estes,4917636,7
2024-09-29,Ryan Pepiot,4208281,2
2024-09-29,Aaron Nola,33709,12
2024-09-29,Jake Irvin,41290,14
2024-09-29,Chris Bassitt,33148,5
2024-09-29,Bailey Ober,3107919,5
2024-09-29,Cole Ragans,41054,4
