team_id,start_bucket,n_start,pct_start
1,<= 0,12,0.14634146341463414
1,1-5,8,0.0975609756097561
1,6-10,14,0.17073170731707318
1,11-15,10,0.12195121951219512
1,16-20,14,0.17073170731707318
1,21-25,16,0.1951219512195122
1,26-30,6,0.07317073170731707
1,> 30,2,0.024390243902439025
2,<= 0,8,0.0975609756097561
2,1-5,10,0.12195121951219512
2,6-10,10,0.12195121951219512
2,11-15,8,0.0975609756097561
2,16-20,14,0.17073170731707318
2,21-25,12,0.14634146341463414
2,26-30,12,0.14634146341463414
2,> 30,8,0.0975609756097561
4,<= 0,8,0.1
4,1-5,8,0.1
4,6-10,9,0.1125
4,11-15,8,0.1
4,16-20,14,0.175
4,21-25,16,0.2
4,26-30,12,0.15
4,> 30,5,0.0625
5,<= 0,10,0.1282051282051282
5,1-5,5,0.0641025641025641
5,6-10,16,0.20512820512820512
5,11-15,7,0.08974358974358974
5,16-20,12,0.15384615384615385
5,21-25,12,0.15384615384615385
5,26-30,12,0.15384615384615385
5,> 30,4,0.05128205128205128
6,<= 0,13,0.15853658536585366
6,1-5,12,0.14634146341463414
6,6-10,11,0.13414634146341464
6,11-15,13,0.15853658536585366
6,16-20,10,0.12195121951219512
6,21-25,10,0.12195121951219512
6,26-30,8,0.0975609756097561
6,> 30,5,0.06097560975609756
7,<= 0,9,0.10843373493975904
7,1-5,9,0.10843373493975904
7,6-10,4,0.04819277108433735
7,11-15,12,0.14457831325301204
7,16-20,17,0.20481927710843373
7,21-25,14,0.1686746987951807
7,26-30,15,0.18072289156626506
7,> 30,3,0.03614457831325301
8,<= 0,12,0.1518987341772152
8,1-5,6,0.0759493670886076
8,6-10,13,0.16455696202531644
8,11-15,13,0.16455696202531644
8,16-20,14,0.17721518987341772
8,21-25,11,0.13924050632911392
8,26-30,8,0.10126582278481013
8,> 30,2,0.02531645569620253
9,<= 0,7,0.08536585365853659
9,1-5,10,0.12195121951219512
9,6-10,10,0.12195121951219512
9,11-15,14,0.17073170731707318
9,16-20,10,0.12195121951219512
9,21-25,13,0.15853658536585366
9,26-30,11,0.13414634146341464
9,> 30,7,0.08536585365853659
11,<= 0,8,0.1
11,1-5,7,0.0875
11,6-10,17,0.2125
11,11-15,12,0.15
11,16-20,13,0.1625
11,21-25,14,0.175
11,26-30,8,0.1
11,> 30,1,0.0125
12,<= 0,4,0.04878048780487805
12,1-5,4,0.04878048780487805
12,6-10,11,0.13414634146341464
12,11-15,11,0.13414634146341464
12,16-20,10,0.12195121951219512
12,21-25,19,0.23170731707317074
12,26-30,18,0.21951219512195122
12,> 30,5,0.06097560975609756
13,<= 0,8,0.10126582278481013
13,1-5,12,0.1518987341772152
13,6-10,14,0.17721518987341772
13,11-15,12,0.1518987341772152
13,16-20,8,0.10126582278481013
13,21-25,11,0.13924050632911392
13,26-30,9,0.11392405063291139
13,> 30,5,0.06329113924050633
14,<= 0,11,0.13924050632911392
14,1-5,6,0.0759493670886076
14,6-10,15,0.189873417721519
14,11-15,16,0.20253164556962025
14,16-20,11,0.13924050632911392
14,21-25,9,0.11392405063291139
14,26-30,10,0.12658227848101267
14,> 30,1,0.012658227848101266
