team,win_pct,exp_win_pct,win,loss,exp_win,exp_loss,division_id,logo,total_points,total_adj_points,batting_points,pitching_points,sp_points,rp_points,adj_batting_pts,adj_pitching_pts,adj_pts,adj_sp_pts,adj_rp_pts,batting_ppg,rp_ppg,sp_ppg,qs_pct,rank
Ketel Bells,0.7619047619047619,0.6818181818181818,16,5,14.318181818181818,6.681818181818182,1,https://g.espncdn.com/lm-static/flb/images/default_logos/15.svg,7452.5,7361.05,4953,2499.5,2030.5,469,233.14523809523808,117.38095238095238,350.5261904761905,95.46904761904761,22.454761904761906,3.014242424242424,2.9872611464968153,12.363636363636363,0.38181818181818183,1
All That is Wright,0.6666666666666666,0.5714285714285714,14,7,12,9,1,https://media1.tenor.com/m/hRchp6kZVHIAAAAC/steve-cohen.gif,7077.5,7007.9,4009,3068.5,2532,536.5,189.71904761904761,143.9904761904762,333.70952380952383,121,25.576190476190476,2.4625307125307123,3.4391025641025643,15.161676646706587,0.5209580838323353,2
The Traveling Secretaries,0.6666666666666666,0.5800865800865801,14,7,12.181818181818182,8.818181818181818,1,https://i.imgur.com/wll1Ubw.jpg,7055,6981.95,4045.5,3009.5,2370.5,639,190.5142857142857,141.9595238095238,332.4738095238095,111.55238095238096,30.057142857142857,2.518991282689913,3.968944099378882,14.421212121212122,0.49696969696969695,3
FVOS Re-imagined,0.6190476190476191,0.5346320346320346,13,8,11.227272727272727,9.772727272727273,1,https://g.espncdn.com/lm-static/logo-packs/flb/fake-team-logos-martin-laksman/logos--09.svg,6967,6887,3959,3008,2567,441,186.9047619047619,141.04761904761904,327.95238095238096,121.8452380952381,20.423809523809524,2.524872448979592,3.2666666666666666,15.46987951807229,0.5180722891566265,4
Blasphemous Hot Takes,0.47619047619047616,0.5714285714285714,10,11,12,9,1,https://i.imgur.com/8kDpq7D.png,7213,7177.05,3663,3550,2876,674,174.40238095238095,167.36190476190475,341.76428571428573,136.28571428571428,32.51904761904762,2.2765692977004353,3.8079096045197742,17.175595238095237,0.625,5
The Novaks,0.47619047619047616,0.5454545454545454,10,11,11.454545454545455,9.545454545454545,1,https://i.imgur.com/DPLqmOq.jpg,6980,6940.35,4179,2801,2214.5,586.5,197.72380952380954,132.76904761904763,330.49285714285713,105.20952380952382,27.788095238095238,2.511418269230769,3.3514285714285714,13.289940828402367,0.4319526627218935,6
Skubal Divers,0.47619047619047616,0.4437229437229437,10,11,9.318181818181818,11.681818181818182,1,https://i.imgur.com/TzPHLqL.jpg,6800.5,6738.8,3857,2943.5,2468,475.5,181.7404761904762,139.1547619047619,320.8952380952381,117.27857142857142,22.633333333333333,2.388235294117647,3.3020833333333335,14.69047619047619,0.47619047619047616,7
The West Bank Occupiers,0.42857142857142855,0.45021645021645024,9,12,9.454545454545455,11.545454545454545,1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/2000px-Flag_of_Israel.svg.png,6658.5,6626.6,4266,2392.5,2009.5,383,202.65714285714284,112.8952380952381,315.55238095238093,96.46428571428571,17.68095238095238,2.6596009975062342,2.9242424242424243,12.45398773006135,0.3496932515337423,8
Shrimp Fried Bryce,0.38095238095238093,0.38095238095238093,8,13,8,13,1,https://i.imgur.com/732n2qf.png,6572,6512.5,3627,2945,2398,547,171.1642857142857,138.9547619047619,310.1190476190476,113.95,26.054761904761904,2.2626325639426077,3.551948051948052,14.273809523809524,0.48214285714285715,9
Elly De La Snooze,0.38095238095238093,0.3398268398268398,8,13,7.136363636363636,13.863636363636363,1,https://imgur.com/d4sbJBf.png,6533,6456.2,3849,2684,2128.5,555.5,181.02857142857144,126.4095238095238,307.43809523809523,101.28095238095239,26.42142857142857,2.378759975445058,3.538216560509554,12.875,0.4107142857142857,10
Mt. Everest Taquito Farmers,0.3333333333333333,0.46320346320346323,7,14,9.727272727272727,11.272727272727273,1,https://i.imgur.com/VW41hvO.gif,6812.5,6764.7,3926.5,2886,2173.5,712.5,185.79285714285714,136.3357142857143,322.12857142857143,103.45476190476191,33.445238095238096,2.494599745870394,4.292168674698795,13.093373493975903,0.42771084337349397,11
The Talmudic Tunnelers,0.3333333333333333,0.43722943722943725,7,14,9.181818181818182,11.818181818181818,1,https://64.media.tumblr.com/0a5cf45b1a3869db928255d8982d407f/bb2cb8147657a525-1f/s640x960/bfbb193017d6048f0e1528411316841adb2858a2.jpg,6643.5,6608.35,3991.5,2652,2187.5,464.5,189.18809523809523,125.4952380952381,314.68333333333334,103.5547619047619,21.96904761904762,2.435326418547895,3.317857142857143,13.381656804733728,0.4319526627218935,12
League Average,NA,NA,NA,NA,NA,NA,NA,NA,6897.083333333333,NA,4027.125,2869.9583333333335,2329.625,540.3333333333334,190.33174603174604,135.31289682539682,325.64464285714286,110.61210317460318,25.58531746031746,2.494816648615194,3.498921251348436,14.058441558441558,0.463036963036963,NA
