team_id,start_bucket,n_start,pct_start
1,<= 0,19,0.09595959595959595
1,1-5,23,0.11616161616161616
1,6-10,34,0.1717171717171717
1,11-15,32,0.16161616161616163
1,16-20,26,0.13131313131313133
1,21-25,32,0.16161616161616163
1,26-30,23,0.11616161616161616
1,> 30,9,0.045454545454545456
2,<= 0,34,0.1717171717171717
2,1-5,23,0.11616161616161616
2,6-10,29,0.14646464646464646
2,11-15,38,0.1919191919191919
2,16-20,34,0.1717171717171717
2,21-25,18,0.09090909090909091
2,26-30,14,0.0707070707070707
2,> 30,8,0.04040404040404041
4,<= 0,23,0.11979166666666667
4,1-5,17,0.08854166666666667
4,6-10,27,0.140625
4,11-15,30,0.15625
4,16-20,35,0.18229166666666666
4,21-25,29,0.15104166666666666
4,26-30,19,0.09895833333333333
4,> 30,12,0.0625
5,<= 0,30,0.15544041450777202
5,1-5,26,0.13471502590673576
5,6-10,17,0.08808290155440414
5,11-15,29,0.15025906735751296
5,16-20,24,0.12435233160621761
5,21-25,32,0.16580310880829016
5,26-30,26,0.13471502590673576
5,> 30,9,0.046632124352331605
6,<= 0,23,0.12169312169312169
6,1-5,11,0.0582010582010582
6,6-10,39,0.20634920634920634
6,11-15,22,0.1164021164021164
6,16-20,35,0.18518518518518517
6,21-25,27,0.14285714285714285
6,26-30,18,0.09523809523809523
6,> 30,14,0.07407407407407407
7,<= 0,26,0.13131313131313133
7,1-5,25,0.12626262626262627
7,6-10,29,0.14646464646464646
7,11-15,25,0.12626262626262627
7,16-20,20,0.10101010101010101
7,21-25,44,0.2222222222222222
7,26-30,19,0.09595959595959595
7,> 30,10,0.050505050505050504
8,<= 0,25,0.13089005235602094
8,1-5,18,0.09424083769633508
8,6-10,27,0.14136125654450263
8,11-15,26,0.13612565445026178
8,16-20,32,0.16753926701570682
8,21-25,29,0.1518324607329843
8,26-30,26,0.13612565445026178
8,> 30,8,0.041884816753926704
9,<= 0,31,0.15577889447236182
9,1-5,20,0.10050251256281408
9,6-10,29,0.1457286432160804
9,11-15,26,0.1306532663316583
9,16-20,26,0.1306532663316583
9,21-25,27,0.135678391959799
9,26-30,28,0.1407035175879397
9,> 30,12,0.06030150753768844
11,<= 0,36,0.18947368421052632
11,1-5,22,0.11578947368421053
11,6-10,34,0.17894736842105263
11,11-15,18,0.09473684210526316
11,16-20,21,0.11052631578947368
11,21-25,35,0.18421052631578946
11,26-30,17,0.08947368421052632
11,> 30,7,0.03684210526315789
12,<= 0,17,0.0845771144278607
12,1-5,25,0.12437810945273632
12,6-10,27,0.13432835820895522
12,11-15,24,0.11940298507462686
12,16-20,36,0.1791044776119403
12,21-25,44,0.21890547263681592
12,26-30,20,0.09950248756218906
12,> 30,8,0.03980099502487562
13,<= 0,17,0.08673469387755102
13,1-5,20,0.10204081632653061
13,6-10,31,0.15816326530612246
13,11-15,26,0.1326530612244898
13,16-20,28,0.14285714285714285
13,21-25,29,0.14795918367346939
13,26-30,28,0.14285714285714285
13,> 30,17,0.08673469387755102
14,<= 0,28,0.13930348258706468
14,1-5,18,0.08955223880597014
14,6-10,33,0.16417910447761194
14,11-15,30,0.14925373134328357
14,16-20,44,0.21890547263681592
14,21-25,25,0.12437810945273632
14,26-30,15,0.07462686567164178
14,> 30,8,0.03980099502487562
