team,playoffs,last_place,champ,matchup_id,mean_pts,mean_wins
The Traveling Secretaries,0.2139,0.0923,0.0469,4,6362,10.1
The West Bank Occupiers,0.7883,0.003,0.2129,4,6739,13.2
All That is Wright,0.3314,0.0318,0.0795,5,6566,10.9
Blasphemous Hot Takes,0.6307,0.0067,0.1799,5,6960,12
Elly De La Snooze,0.0927,0.158,0.0228,5,6557,8.9
FVOS Re-imagined,0.0712,0.1928,0.0149,5,6498,8.6
Ketel Bells,0.5222,0.0092,0.1249,5,6627,11.9
Mt. Everest Taquito Farmers,0.0309,0.3095,0.0077,5,6519,7.8
Skubal Divers,0.5957,0.0054,0.1476,5,6707,12.2
Shrimp Fryed Bryce,0.0716,0.1726,0.0134,5,6312,9
The Novaks,0.2518,0.0455,0.0609,5,6673,10.2
The Talmudic Tunnelers,0.3955,0.0199,0.0931,5,6669,11.2
The Traveling Secretaries,0.2725,0.0469,0.0609,5,6483,10.7
The West Bank Occupiers,0.7338,0.0017,0.1944,5,6859,12.7
All That is Wright,0.3939,0.0075,0.0929,6,6566,11.5
Blasphemous Hot Takes,0.709,0.001,0.208,6,6972,12.6
Elly De La Snooze,0.0366,0.1794,0.0095,6,6440,8.2
FVOS Re-imagined,0.0331,0.1752,0.0066,6,6447,8.2
Ketel Bells,0.6369,8e-4,0.1532,6,6708,12.6
Mt. Everest Taquito Farmers,0.0073,0.4269,0.0019,6,6324,7
Skubal Divers,0.7119,4e-4,0.1763,6,6774,12.9
Shrimp Fryed Bryce,0.0554,0.1089,0.0115,6,6393,8.9
The Novaks,0.1164,0.0562,0.0296,6,6566,9.4
The Talmudic Tunnelers,0.1984,0.0289,0.0449,6,6520,10.4
The Traveling Secretaries,0.3243,0.0143,0.0676,6,6476,11.2
The West Bank Occupiers,0.7768,5e-4,0.198,6,6825,13.2
All That is Wright,0.5049,0.0021,0.1178,7,6598,12.1
Blasphemous Hot Takes,0.7479,1e-4,0.2105,7,6936,12.9
Elly De La Snooze,0.039,0.1077,0.0077,7,6401,8.6
FVOS Re-imagined,0.0068,0.3085,0.0016,7,6281,7.3
Ketel Bells,0.533,8e-4,0.1282,7,6718,12.1
Mt. Everest Taquito Farmers,0.0036,0.4294,6e-4,7,6351,6.5
Skubal Divers,0.8628,0,0.2364,7,6946,13.8
Shrimp Fryed Bryce,0.0946,0.0428,0.0194,7,6452,9.6
The Novaks,0.0513,0.0725,0.0106,7,6483,8.8
The Talmudic Tunnelers,0.1193,0.0326,0.0245,7,6483,9.9
The Traveling Secretaries,0.4363,0.0031,0.0908,7,6533,11.9
The West Bank Occupiers,0.6005,4e-4,0.1519,7,6738,12.4
All That is Wright,0.5917,2e-4,0.1344,8,6636,12.7
Blasphemous Hot Takes,0.8657,0,0.2588,8,7107,13.8
Elly De La Snooze,0.017,0.1139,0.0044,8,6420,8.2
FVOS Re-imagined,0.0012,0.4421,0,8,6198,6.6
Ketel Bells,0.415,5e-4,0.0948,8,6722,11.6
Mt. Everest Taquito Farmers,0.0027,0.3124,7e-4,8,6317,6.9
Skubal Divers,0.6788,1e-4,0.1693,8,6786,12.9
Shrimp Fryed Bryce,0.1142,0.0177,0.0243,8,6445,10.1
The Novaks,0.0358,0.0666,0.0091,8,6564,8.6
The Talmudic Tunnelers,0.0533,0.0458,0.0107,8,6435,9.3
The Traveling Secretaries,0.5161,6.000000000000001e-4,0.1148,8,6557,12.4
The West Bank Occupiers,0.7085,1e-4,0.1787,8,6794,13
All That is Wright,0.4363,9e-4,0.0932,9,6649,12.1
Blasphemous Hot Takes,0.9306,0,0.2963,9,7253,14.4
Elly De La Snooze,0.0045,0.1934,4e-4,9,6437,7.5
FVOS Re-imagined,0.0011,0.3763,0,9,6227,7
Ketel Bells,0.5278,4e-4,0.1151,9,6802,12.2
Mt. Everest Taquito Farmers,0.0052,0.1964,0.0011,9,6437,7.5
Skubal Divers,0.5344,2e-4,0.1259,9,6787,12.3
Shrimp Fryed Bryce,0.0712,0.0264,0.0129,9,6513,9.7
The Novaks,0.0126,0.106,0.0027,9,6602,8.1
The Talmudic Tunnelers,0.0163,0.1,0.0026,9,6404,8.5
The Traveling Secretaries,0.6413,0,0.1367,9,6668,13
The West Bank Occupiers,0.8187,0,0.2131,9,6922,13.7
All That is Wright,0.5591,0,0.1297,10,6675,12.7
Blasphemous Hot Takes,0.8551,0,0.2614,10,7144,13.7
Elly De La Snooze,0.0058,0.1353,9e-4,10,6376,8
FVOS Re-imagined,5e-4,0.3737,1e-4,10,6289,6.8
Ketel Bells,0.6637,1e-4,0.1634,10,6822,12.9
Mt. Everest Taquito Farmers,0.0011,0.2619,0,10,6388,7.1
Skubal Divers,0.6432,2e-4,0.1582,10,6796,12.9
Shrimp Fryed Bryce,0.0963,0.0099,0.0205,10,6516,10.3
The Novaks,0.0274,0.0395,0.0066,10,6684,8.7
The Talmudic Tunnelers,0.0032,0.1791,6e-4,10,6305,7.8
The Traveling Secretaries,0.4952,3.0000000000000003e-4,0.1051,10,6628,12.5
The West Bank Occupiers,0.6494,0,0.1535,10,6779,12.9
All That is Wright,0.7425,0,0.1761,11,6778,13.4
Blasphemous Hot Takes,0.9295,0,0.2819,11,7203,14.2
Elly De La Snooze,0.0011,0.2415,1e-4,11,6306,7.4
FVOS Re-imagined,6.000000000000001e-4,0.2467,0,11,6318,7.3
Ketel Bells,0.8275,0,0.2116,11,6936,13.6
Mt. Everest Taquito Farmers,0.0027,0.1313,3e-4,11,6491,7.7
Skubal Divers,0.5231,1e-4,0.1214,11,6801,12.4
Shrimp Fryed Bryce,0.0275,0.0259,0.0052,11,6368,9.4
The Novaks,0.032,0.027,0.0068,11,6665,9.1
The Talmudic Tunnelers,3.0000000000000003e-4,0.3269,1e-4,11,6224,7.1
The Traveling Secretaries,0.398,3.0000000000000003e-4,0.0833,11,6669,12.1
The West Bank Occupiers,0.5152,3.0000000000000003e-4,0.1132,11,6748,12.4
All That is Wright,0.887,0,0.2298,12,6917,14
Blasphemous Hot Takes,0.8536,0,0.2556,12,7122,13.5
Elly De La Snooze,0.001,0.1903,2e-4,12,6316,7.8
FVOS Re-imagined,0.0019,0.1585,2e-4,12,6373,8
Ketel Bells,0.7351,0,0.1832,12,6943,13
Mt. Everest Taquito Farmers,0.0072,0.0782,0.0014,12,6534,8.3
Skubal Divers,0.6236,0,0.1419,12,6769,12.9
Shrimp Fryed Bryce,0.0085,0.0784,0.0015,12,6320,8.7
The Novaks,0.0139,0.0428,0.0026,12,6709,8.6
The Talmudic Tunnelers,0,0.4518,0,12,6270,6.8
The Traveling Secretaries,0.5331,0,0.1088,12,6694,12.6
The West Bank Occupiers,0.3351,0,0.0748,12,6710,11.8
All That is Wright,0.9431,0,0.2429,13,6928,14.5
Blasphemous Hot Takes,0.791,0,0.2256,13,7117,12.9
Elly De La Snooze,1e-4,0.2745,0,13,6264,7.3
FVOS Re-imagined,0.0087,0.0388,0.0017,13,6507,8.7
Ketel Bells,0.81,0,0.2094,13,6932,13.3
Mt. Everest Taquito Farmers,0.0177,0.0188,0.0031,13,6659,8.9
Shrimp Fryed Bryce,0.0021,0.0923,3e-4,13,6330,8.3
Skubal Divers,0.4375,2e-4,0.0948,13,6686,12.2
The Novaks,0.036,0.0113,0.0078,13,6812,9.2
The Talmudic Tunnelers,0,0.5638,0,13,6244,6.3
The Traveling Secretaries,0.7041,0,0.1575,13,6733,13.1
The West Bank Occupiers,0.2497,3.0000000000000003e-4,0.0569,13,6752,11.3
All That is Wright,0.8871,0,0.2145,14,6868,13.9
Blasphemous Hot Takes,0.6256,0,0.1687,14,7041,12.2
Elly De La Snooze,0,0.4623,0,14,6230,6.8
FVOS Re-imagined,0.0113,0.0167,0.0017,14,6514,9.3
Ketel Bells,0.931,0,0.2524,14,7071,14
Mt. Everest Taquito Farmers,0.0055,0.0356,0.0013,14,6609,8.4
Shrimp Fryed Bryce,0,0.1596,0,14,6304,7.6
Skubal Divers,0.2482,2e-4,0.0543,14,6659,11.6
The Novaks,0.0526,0.0022,0.0137,14,6820,9.7
The Talmudic Tunnelers,0,0.3233,0,14,6327,6.9
The Traveling Secretaries,0.8985,0,0.2126,14,6882,13.9
The West Bank Occupiers,0.3402,1e-4,0.0808,14,6798,11.7
All That is Wright,0.9828,0,0.254,15,6953,14.5
Blasphemous Hot Takes,0.5596,0,0.1432,15,7035,11.6
Elly De La Snooze,1e-4,0.323,0,15,6172,7.3
FVOS Re-imagined,0.0454,0.0026,0.0091,15,6577,10
Ketel Bells,0.9832,0,0.2794,15,7117,14.4
Mt. Everest Taquito Farmers,0.0133,0.0115,0.0024,15,6644,9
Shrimp Fryed Bryce,1e-4,0.1899,0,15,6303,7.3
Skubal Divers,0.1492,3e-4,0.029,15,6553,10.9
The Novaks,0.1221,2e-4,0.0277,15,6829,10.1
The Talmudic Tunnelers,0,0.4725,0,15,6250,6.5
The Traveling Secretaries,0.8879,0,0.1995,15,6843,13.4
The West Bank Occupiers,0.2563,0,0.0557,15,6764,11.1
All That is Wright,0.9988,0,0.2799,16,7168,14.9
Blasphemous Hot Takes,0.3856,0,0.0925,16,7052,10.9
Elly De La Snooze,2e-4,0.1074,1e-4,16,6396,8
FVOS Re-imagined,0.1449,3.0000000000000003e-4,0.0286,16,6769,10.5
Ketel Bells,0.9877,0,0.2731,16,7194,14.3
Mt. Everest Taquito Farmers,0.0328,0.0075,0.0068,16,6768,9.1
Shrimp Fryed Bryce,0,0.3727,0,16,6324,6.9
Skubal Divers,0.161,5e-4,0.0305,16,6624,10.7
The Novaks,0.2078,1e-4,0.047,16,6935,10.2
The Talmudic Tunnelers,0,0.5114,0,16,6308,6.6
The Traveling Secretaries,0.8411,0,0.1899,16,6866,12.9
The West Bank Occupiers,0.2401,1e-4,0.0516,16,6806,10.8
