team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,langes,bednars,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,66,932,803,129,295,251,44,2847,2477,370,414,365,49,115,12,127,37,32,5,7,8,1,3.9262381454162276,3.9786031489705285,3.575675675675676,8.838777660695468,8.752926927735164,9.413513513513513,2.79768177028451,2.7359709325797335,3.210810810810811,3.159322033898305,3.199203187250996,2.9318181818181817,1.2044257112750265,1.2535324989907144,0.8756756756756757,3.9191794830726066,3.987923625707503,3.458965317378989,3.094100452514124
2,71,1060,892,168,321,254,67,2923,2510,413,422,364,58,103,16,119,39,32,7,5,9,1,3.89804994868286,3.915537848605578,3.791767554479419,9.791310297639413,9.595219123505975,10.983050847457628,2.9651043448511802,2.7322709163346612,4.380145278450363,3.3021806853582554,3.5118110236220472,2.5074626865671643,1.0992131371878209,1.1079681274900397,1.0460048426150121,3.6144562513509353,3.587725950522092,3.776909169221146,3.094100452514124
4,84,1094,912,182,288,223,65,3021,2583,438,388,329,59,111,20,131,32,24,8,7,8,2,3.4677259185700096,3.4390243902439024,3.6369863013698627,9.777557100297914,9.533101045296167,11.21917808219178,2.573982125124131,2.331010452961672,4.006849315068493,3.798611111111111,4.089686098654709,2.8,1.1708043694141013,1.1602787456445993,1.2328767123287672,3.5657985657216713,3.512218919413079,3.881771685390836,3.094100452514124
5,76,1010,833,177,341,275,66,3060,2613,447,403,347,56,90,20,110,41,38,3,7,6,2,3.5558823529411767,3.585533869115959,3.38255033557047,8.911764705882353,8.607347876004592,10.691275167785234,3.0088235294117647,2.841561423650976,3.986577181208054,2.961876832844575,3.0290909090909093,2.6818181818181817,0.9705882352941175,0.9299655568312284,1.2080536912751678,3.63919849172981,3.602711244707006,3.8524897142590904,3.094100452514124
6,67,1026,845,181,299,247,52,3035,2567,468,422,370,52,91,9,100,42,38,4,4,6,3,3.7542009884678746,3.8917023763147642,3,9.127512355848435,8.887806778340476,10.442307692307693,2.6599670510708404,2.5979742890533695,3,3.431438127090301,3.4210526315789473,3.480769230769231,0.8896210873146623,0.9571484222828205,0.5192307692307693,3.3619752465833166,3.5008008810299014,2.6005107089243804,3.094100452514124
7,79,1033,895,138,319,265,54,2968,2622,346,403,354,49,107,9,116,41,32,9,5,7,1,3.6661051212938003,3.6453089244851262,3.823699421965318,9.397237196765499,9.2162471395881,10.768786127167632,2.901954177897574,2.72883295194508,4.213872832369942,3.238244514106583,3.3773584905660377,2.5555555555555554,1.055256064690027,1.1018306636155606,0.7023121387283238,3.6217284848591373,3.657029514299021,3.35421605945054,3.094100452514124
8,66,997,829,168,314,249,65,2922,2479,443,390,362,28,109,8,117,36,28,8,9,6,0,3.6036960985626285,3.9427188382412264,1.706546275395034,9.212525667351128,9.029043969342478,10.239277652370204,2.9014373716632447,2.7119806373537716,3.9616252821670432,3.1751592356687897,3.3293172690763053,2.5846153846153848,1.0811088295687885,1.1871722468737396,0.4875846501128668,3.6865029165798324,3.8080980321833455,3.0060643351326344,3.094100452514124
9,76,989,834,155,306,243,63,2995,2587,408,396,347,49,114,9,123,39,29,10,7,10,1,3.5699499165275457,3.6215693853884807,3.2426470588235294,8.915859766277128,8.70429068419018,10.257352941176471,2.7585976627712854,2.536142249710089,4.169117647058823,3.2320261437908497,3.432098765432099,2.4603174603174605,1.1088480801335558,1.189795129493622,0.5955882352941176,3.751195611111787,3.824676409220734,3.2852769231023595,3.094100452514124
11,55,879,747,132,348,288,60,2835,2494,341,407,350,57,118,17,135,42,40,2,6,10,5,3.8761904761904757,3.7890938251804336,4.513196480938416,8.371428571428572,8.087008821170809,10.451612903225806,3.314285714285714,3.1178829190056137,4.750733137829912,2.5258620689655173,2.59375,2.2,1.2857142857142856,1.277465918203689,1.346041055718475,4.329021087434759,4.325856667429922,4.352164968643156,3.094100452514124
12,92,1118,927,191,307,245,62,3270,2755,515,376,329,47,95,18,113,57,50,7,10,8,1,3.1045871559633027,3.22431941923775,2.4640776699029128,9.231192660550459,9.084936479128856,10.013592233009708,2.5348623853211008,2.401088929219601,3.2504854368932037,3.6416938110749184,3.783673469387755,3.0806451612903225,0.9330275229357797,0.9310344827586207,0.9436893203883495,3.392265590128803,3.3837556249279173,3.4377897729024736,3.094100452514124
13,55,903,754,149,298,231,67,2797,2389,408,454,395,59,108,15,123,34,31,3,4,12,5,4.3825527350732925,4.464210966931771,3.9044117647058827,8.716839470861638,8.521557136877355,9.860294117647058,2.87665355738291,2.610715780661365,4.4338235294117645,3.030201342281879,3.264069264069264,2.2238805970149254,1.1873435824097247,1.2205943909585601,0.9926470588235294,3.9403643066435485,3.950525735059122,3.880865158396477,3.094100452514124
14,58,918,790,128,313,263,50,2906,2504,402,441,383,58,114,18,132,34,27,7,13,8,3,4.097384721266345,4.12979233226837,3.895522388059702,8.52924982794219,8.518370607028755,8.597014925373134,2.9081211286992428,2.835862619808307,3.3582089552238807,2.9329073482428116,3.0038022813688214,2.56,1.2264280798348246,1.2292332268370607,1.208955223880597,4.044891918446678,4.019020580309651,4.206040751021587,3.094100452514124
