team,team_id,playoffs,last_place,champ,matchup_id,mean_pts,mean_wins
Mt. Everest Taquito Farmers,8,0.1534,0.1948,0.0382,2,5551,8.8
The Novaks,6,0.399,0.049,0.1067,2,6013,10.3
The Talmudic Tunnelers,1,0.3192,0.084,0.08,2,5788,9.9
The Traveling Secretaries,5,0.3286,0.0716,0.0759,2,5874,9.9
The West Bank Occupiers,11,0.4236,0.048,0.1141,2,5926,10.5
Top Gunner: Henderson,14,0.2734,0.0951,0.0646,2,5624,9.8
Tucker? I hardly know her,2,0.3082,0.0788,0.08,2,5691,10
All That is Wright,4,0.5118,0.029,0.1343,3,5906,11
Bibee-di-Bobbidi-Boo,7,0.3385,0.0709,0.0788,3,5770,10.1
Blasphemous Hot Takes,12,0.1996,0.1384,0.0453,3,5575,9.2
Book of Boba Chette,9,0.2371,0.106,0.0578,3,5657,9.5
Ketel Bells,13,0.3743,0.0459,0.0876,3,5734,10.4
Mt. Everest Taquito Farmers,8,0.1101,0.2376,0.0251,3,5533,8.4
The Novaks,6,0.4041,0.0532,0.10780000000000001,3,5994,10.3
The Talmudic Tunnelers,1,0.4178,0.0455,0.1093,3,5794,10.6
The Traveling Secretaries,5,0.4062,0.0422,0.0993,3,5898,10.4
The West Bank Occupiers,11,0.4471,0.0371,0.1174,3,5940,10.6
Top Gunner: Henderson,14,0.2186,0.1181,0.0529,3,5617,9.4
Tucker? I hardly know her,2,0.3348,0.0761,0.0844,3,5711,10.1
All That is Wright,4,0.557,0.0141,0.1429,4,6094,11.2
Bibee-di-Bobbidi-Boo,7,0.3263,0.0491,0.0805,4,5845,10.2
Blasphemous Hot Takes,12,0.1522,0.1372,0.0347,4,5697,8.9
Book of Boba Chette,9,0.161,0.1233,0.043,4,5727,9
Ketel Bells,13,0.4391,0.025,0.1016,4,5790,10.9
Mt. Everest Taquito Farmers,8,0.0498,0.3474,0.0122,4,5438,7.7
The Novaks,6,0.3875,0.0406,0.1025,4,6142,10.2
The Talmudic Tunnelers,1,0.4077,0.0294,0.097,4,5796,10.7
The Traveling Secretaries,5,0.4021,0.0373,0.1053,4,5957,10.5
The West Bank Occupiers,11,0.5255,0.0169,0.1399,4,6071,11.1
Top Gunner: Henderson,14,0.1431,0.1519,0.036,4,5573,8.9
Tucker? I hardly know her,2,0.4487,0.0278,0.1044,4,5877,10.8
All That is Wright,4,0.5265,0.0055,0.1273,5,6824,11.1
Bibee-di-Bobbidi-Boo,7,0.1688,0.0606,0.0386,5,6574,9.3
Blasphemous Hot Takes,12,0.084,0.1191,0.0191,5,6583,8.4
Book of Boba Chette,9,0.1735,0.0578,0.0395,5,6607,9.3
Ketel Bells,13,0.5005,0.0062,0.1086,5,6610,11.4
Mt. Everest Taquito Farmers,8,0.0061,0.591,0.0012,5,6234,6.4
The Novaks,6,0.6885,0.0022,0.204,5,7057,11.7
The Talmudic Tunnelers,1,0.2948,0.026,0.0657,5,6576,10.3
The Traveling Secretaries,5,0.502,0.0076,0.1312,5,6808,11
The West Bank Occupiers,11,0.7407,0.0013,0.2032,5,6898,12.2
Top Gunner: Henderson,14,0.1507,0.0639,0.0265,5,6358,9.5
Tucker? I hardly know her,2,0.1639,0.0588,0.0351,5,6579,9.4
All That is Wright,4,0.5062,0.0067,0.1303,6,6807,11
Bibee-di-Bobbidi-Boo,7,0.1654,0.053,0.0352,6,6559,9.4
Blasphemous Hot Takes,12,0.0852,0.1165,0.0195,6,6566,8.4
Book of Boba Chette,9,0.1399,0.0636,0.0295,6,6584,9.1
Ketel Bells,13,0.5247,0.0052,0.1154,6,6599,11.5
Mt. Everest Taquito Farmers,8,0.0053,0.6105,0.001,6,6225,6.3
The Novaks,6,0.6604,0.002,0.1945,6,7039,11.6
The Talmudic Tunnelers,1,0.2906,0.0208,0.0609,6,6559,10.3
The Traveling Secretaries,5,0.5443,0.005,0.1425,6,6799,11.2
The West Bank Occupiers,11,0.7656,0.0015,0.2042,6,6887,12.4
Top Gunner: Henderson,14,0.1542,0.0572,0.0321,6,6346,9.5
Tucker? I hardly know her,2,0.1582,0.058,0.0349,6,6560,9.3
