team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,langes,bednars,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,37,614,529,85,220,185,35,1763,1551,212,229,210,19,74,6,80,21,19,2,4,1,0,3.5070901871809417,3.655705996131528,2.4198113207547167,9.403289846851957,9.20889748549323,10.825471698113208,3.3692569483834376,3.2205029013539654,4.4575471698113205,2.790909090909091,2.8594594594594596,2.4285714285714284,1.2251843448667044,1.2882011605415862,0.7641509433962265,4.057611860174518,4.14529759016483,3.4160997506699218,3.1472318261416197
2,39,638,535,103,221,182,39,1809,1579,230,283,230,53,55,12,67,27,19,8,6,11,4,4.223880597014926,3.9328689043698546,6.221739130434782,9.522388059701493,9.14819506016466,12.091304347826087,3.298507462686567,3.1120962634578846,4.578260869565217,2.8868778280542986,2.9395604395604398,2.641025641025641,1,0.9404686510449652,1.408695652173913,3.709420880867988,3.618416119998491,4.33418834788075,3.1472318261416197
4,41,605,513,92,237,204,33,1885,1626,259,258,227,31,73,10,83,37,35,2,2,4,1,3.6954907161803714,3.769372693726937,3.2316602316602316,8.665782493368699,8.518450184501845,9.59073359073359,3.3946949602122016,3.3874538745387452,3.44015444015444,2.5527426160337554,2.514705882352941,2.787878787878788,1.1888594164456232,1.2121771217712178,1.0424710424710424,4.24696657415223,4.328043634259701,3.7379654168752103,3.1472318261416197
5,39,699,556,143,194,167,27,1883,1608,275,240,222,18,67,3,70,19,18,1,5,0,0,3.4413170472650028,3.727611940298508,1.7672727272727273,10.02283590015932,9.335820895522387,14.040000000000001,2.781731279872544,2.8041044776119404,2.650909090909091,3.6030927835051547,3.3293413173652695,5.296296296296297,1.0037174721189592,1.125,0.29454545454545455,3.3878053789828306,3.7330527216640075,1.3690500079598016,3.1472318261416197
6,36,657,561,96,215,183,32,1858,1606,252,246,206,40,62,9,71,22,20,2,5,8,1,3.5748116254036604,3.463262764632628,4.285714285714286,9.547362755651239,9.431506849315069,10.285714285714285,3.1243272335844994,3.076587795765878,3.4285714285714284,3.055813953488372,3.0655737704918034,3,1.0317545748116252,1.0423412204234122,0.9642857142857142,3.6639164332460332,3.6945543666148453,3.4686603975701913,3.1472318261416197
7,49,570,475,95,202,157,45,1945,1656,289,275,238,37,66,8,74,30,26,4,2,3,2,3.817480719794345,3.880434782608696,3.4567474048442905,7.912596401028278,7.744565217391305,8.875432525951556,2.804113110539846,2.5597826086956523,4.204152249134948,2.8217821782178216,3.0254777070063694,2.111111111111111,1.027249357326478,1.076086956521739,0.7474048442906575,3.9462035485066584,3.9751303768662574,3.7804498192212046,3.1472318261416197
8,36,657,569,88,240,189,51,1820,1563,257,279,232,47,71,9,80,39,34,5,4,8,2,4.139010989010989,4.007677543186181,4.937743190661478,9.746703296703297,9.829174664107486,9.245136186770429,3.5604395604395607,3.2648752399232244,5.357976653696498,2.7375,3.0105820105820107,1.7254901960784315,1.1868131868131868,1.2264875239923223,0.9455252918287937,4.075253804163598,4.018632977773097,4.419605366997651,3.1472318261416197
9,40,659,548,111,212,174,38,1887,1635,252,280,250,30,67,6,73,25,24,1,6,2,0,4.006359300476948,4.128440366972477,3.214285714285714,9.42925278219396,9.04954128440367,11.892857142857142,3.0333863275039747,2.8733944954128443,4.071428571428571,3.108490566037736,3.1494252873563218,2.9210526315789473,1.0445151033386326,1.1064220183486237,0.6428571428571428,3.690952016920634,3.824296046325106,2.825803254713048,3.1472318261416197
11,44,563,496,67,165,145,20,1847,1642,205,236,202,34,52,6,58,13,8,5,10,5,1,3.4499187872225234,3.3215590742996346,4.478048780487805,8.230102869518136,8.15590742996346,8.824390243902439,2.4120194910665944,2.3842874543239954,2.6341463414634148,3.412121212121212,3.420689655172414,3.35,0.8478613968597727,0.8550548112058465,0.7902439024390244,3.4103612251670663,3.4084985740100726,3.425280606629425,3.1472318261416197
12,46,607,486,121,242,181,61,1997,1641,356,318,252,66,58,17,75,27,20,7,4,8,1,4.299449173760641,4.146252285191956,5.0056179775280905,8.206810215322985,7.996343692870202,9.176966292134832,3.271907861792689,2.9780621572212067,4.626404494382022,2.5082644628099175,2.685082872928177,1.9836065573770492,1.014021031547321,0.9542961608775137,1.2893258426966292,4.00051174602144,3.8510709486279087,4.689366657602294,3.1472318261416197
13,38,617,535,82,209,160,49,1724,1519,205,258,224,34,74,11,85,22,18,4,6,4,1,4.040603248259861,3.9815668202764978,4.478048780487805,9.662993039443155,9.509545753785384,10.8,3.273201856148492,2.8439763001974985,6.453658536585365,2.952153110047847,3.34375,1.6734693877551021,1.3312064965197217,1.3153390388413428,1.448780487804878,4.1286703412228265,3.9885748149500464,5.166744021263571,3.1472318261416197
14,38,579,472,107,214,189,25,1853,1597,256,275,251,24,62,6,68,36,34,2,5,3,1,4.0070156502968155,4.243581715716969,2.53125,8.436589314624932,7.9799624295554175,11.28515625,3.1181867242309766,3.19536631183469,2.63671875,2.705607476635514,2.497354497354497,4.28,0.9908256880733946,1.0482154038822793,0.6328125,3.917874027976482,4.144727129836046,2.5027005761416197,3.1472318261416197
