game_date,player,player_id,team_id
2025-09-30,Tarik Skubal,42409,5
2025-09-30,Gavin Williams,4345076,6
2025-09-30,Nick Pivetta,36071,4
2025-09-30,Matthew Boyd,34401,11
2025-09-30,Garrett Crochet,4297835,6
2025-09-30,Max Fried,32685,9
2025-09-30,Hunter Greene,39635,4
2025-10-01,Tanner Bibee,4345278,11
2025-10-01,Dylan Cease,34943,7
2025-10-01,Brayan Bello,4720856,12
2025-10-01,Carlos Rodon,33696,14
2025-10-01,Zack Littell,36052,8
2025-10-01,Yoshinobu Yamamoto,4872587,8
2025-10-02,Yu Darvish,32055,13
2025-10-02,Cam Schlittler,5134581,9
2025-10-02,Andrew Abbott,4414528,9
