team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,406,104,10,106,268,252,2429,2746,593,361,345,19,26,0.2577192260189378,0.329160530191458,0.43968711403869903,0.7688476442301571,0.21595047341587764,0.09759650400582666,0.29731275014293884,0.33862949376375645
2,356,117,5,89,282,268,2193,2518,560,303,311,16,25,0.2585499316005472,0.34082697711762344,0.4382124943000456,0.779039471417669,0.22239872915011913,0.11199364575059571,0.30641025641025643,0.3447965627498002
4,400,111,7,104,252,242,2420,2730,618,360,367,19,33,0.25702479338842976,0.3247863247863248,0.43760330578512396,0.7623896305714488,0.22637362637362637,0.09230769230769231,0.30168899242865466,0.33743994104642594
5,395,123,8,65,258,252,2282,2586,455,296,274,20,21,0.2589833479404032,0.331640625,0.4053461875547765,0.7369868125547765,0.1759474091260634,0.09976798143851508,0.2951739618406285,0.32882563106796114
6,403,107,14,75,207,192,2455,2708,570,292,330,23,21,0.2439918533604888,0.3001862197392924,0.3906313645621181,0.6908175843014105,0.21048744460856722,0.07644017725258494,0.28587015821058376,0.30524340393905613
7,374,104,9,73,196,187,2192,2448,507,273,278,20,36,0.25547445255474455,0.313953488372093,0.41104014598540145,0.7249936343574945,0.20710784313725492,0.08006535947712418,0.29840686274509803,0.32325585215605745
8,328,100,14,84,180,177,2186,2410,566,313,283,15,25,0.24062214089661482,0.2965140697186056,0.41445562671546204,0.7109696964340677,0.23485477178423236,0.07468879668049792,0.28497743391360414,0.3147166042446941
9,359,111,7,86,224,217,2276,2541,537,311,288,20,19,0.24736379613356765,0.3123015873015873,0.4156414762741652,0.7279430635757524,0.21133412042502953,0.0881542699724518,0.28511655708308425,0.3216998420221169
11,357,116,11,118,265,257,2377,2683,603,353,329,17,22,0.2532604122843921,0.3260624294847687,0.4602440050483803,0.786306434533149,0.2247484159522922,0.0987700335445397,0.2893006575014943,0.344603441825664
12,360,114,5,97,257,244,2375,2685,561,317,314,24,26,0.24252631578947367,0.31362951807228917,0.41726315789473684,0.730892675967026,0.20893854748603352,0.0957169459962756,0.2751292360712234,0.32320494567253655
13,360,115,11,90,247,239,2363,2668,541,310,329,26,28,0.2437579348286077,0.3122154779969651,0.41599661447312736,0.7282120924700924,0.20277361319340328,0.09257871064467767,0.2764505119453925,0.32271385542168673
14,409,113,14,82,244,232,2325,2622,561,374,308,20,27,0.2658064516129032,0.33294708381614524,0.432258064516129,0.7652051483322743,0.2139588100686499,0.09305873379099924,0.31492361927144535,0.3384036098310292
